epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.4003936490416527,0.5995943409204483,0.7223151153326035,0.562560838162899,0.8176506805419922,0.5343847215175629,0.4656152784824371,0.6338742816448212,0.4552176117897034,0.7502496337890625
2,0.21322542309761047,0.7867514014244079,0.8789149272441864,0.6547294494509697,0.9421061325073242,0.2987533867359161,0.7012466132640839,0.823178151845932,0.6224165987968445,0.9368903350830078
3,0.18561746686697006,0.8143707817792892,0.8965185433626175,0.664346262216568,0.9491398048400879,0.3473966717720032,0.6526033282279968,0.7890136027336121,0.5776383483409882,0.8976752471923828
4,0.17464157462120056,0.8253516033291817,0.9031616175174713,0.6671380797028541,0.9516837120056152,0.2535048520565033,0.7464951479434967,0.8536416506767273,0.6192177391052246,0.9300899505615234
5,0.16170405864715576,0.8382900026440621,0.9107192143797874,0.6719117838144303,0.9549027633666992,0.26675033926963804,0.7332496607303619,0.8455331838130951,0.5962186253070831,0.92265380859375
6,0.1316503569483757,0.8683460083603859,0.9291033786535263,0.6879553034901619,0.9619627380371094,0.4313956868648529,0.5686043131351471,0.7213337326049805,0.5156528651714325,0.9000030517578125
7,0.11052254348993301,0.8894744828343392,0.9411289644241333,0.6987127643823624,0.9667214584350586,0.08842849135398864,0.9115715086460113,0.9536162161827088,0.7098907864093781,0.9720245361328125
8,0.09855636984109878,0.901441023349762,0.947849369943142,0.7041704353690147,0.9692865371704101,0.15452699661254882,0.8454730033874511,0.9159029984474182,0.6691533708572388,0.9557657623291016
9,0.09656940698623658,0.9034282395243645,0.9489557254314422,0.7050508490204811,0.9697737503051758,0.10337815403938294,0.8966218459606171,0.9453417491912842,0.70343585729599,0.9689318084716797
10,0.08019557029008866,0.9198023590445519,0.9580136647820473,0.7135357981920243,0.9732922935485839,0.09148838400840759,0.9085116159915924,0.9515969109535217,0.7120472311973571,0.9712582397460937
11,0.07045458018779754,0.9295433300733567,0.9633815512061119,0.718245633840561,0.9753593444824219,0.07950043797492981,0.9204995620250702,0.9584651482105255,0.7145553696155548,0.9739336395263671
12,0.061202969253063205,0.9387950798869134,0.9683561104536057,0.7229371458292008,0.9772500801086426,0.08178603768348694,0.9182139623165131,0.957295640707016,0.7141824567317963,0.9736995697021484
13,0.05641718804836273,0.9435809472203255,0.9709206050634385,0.7251510292291641,0.9782414054870605,0.06627612471580506,0.933723875284195,0.9655628859996795,0.7215809535980224,0.9764215850830078
14,0.056324037313461306,0.9436741209030152,0.9709612944722176,0.7251327183842659,0.9782533264160156,0.056387706995010375,0.9436122930049896,0.9709428656101227,0.7252450239658356,0.9786121368408203
15,0.05137009769678116,0.9486279684305191,0.9735868144035339,0.7274298021197318,0.9792326354980468,0.058645724058151244,0.9413542759418487,0.9697376382350922,0.7244276356697082,0.97818359375
