epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.8015213415026665,0.19847859978675841,0.3305273872613907,0.31103163212537766,0.1990633201599121,0.7973355436325074,0.20266445636749267,0.3365448355674744,0.2851021897792816,0.19863227844238282
2,0.7479725974798203,0.252027722299099,0.40040836334228513,0.3655122572183609,0.4933295631408691,0.7018731904029846,0.2981268095970154,0.4583399724960327,0.42654099941253665,0.8648178100585937
3,0.5123573377728462,0.48764129012823104,0.6491159397363663,0.5345234507322312,0.8787936019897461,0.4805231714248657,0.5194768285751343,0.6777055597305298,0.5382383930683136,0.8893344116210937
4,0.428893708884716,0.5711052760481834,0.7223205080628395,0.5634282359480858,0.8849894714355468,0.41294537782669066,0.5870546221733093,0.7348440670967102,0.5612173461914063,0.884896011352539
5,0.3503631058335304,0.6496315112709999,0.7835378888249397,0.6002890071272851,0.9076097679138183,0.7090437519550323,0.29095624804496767,0.444894859790802,0.3765126132965088,0.813580551147461
6,0.22039366632699967,0.7796095937490464,0.874245383143425,0.6614600792527199,0.9418786430358886,0.6086548089981079,0.3913451910018921,0.5569131934642791,0.4460675597190857,0.8661576080322265
7,0.16054436326026916,0.839449248611927,0.9114365905523301,0.6863930803537369,0.9565317916870117,0.12657934308052063,0.8734206569194793,0.931961760520935,0.7013852393627167,0.9654697418212891
8,0.12911347091197967,0.8708526146411896,0.9304571545124054,0.6993668848276138,0.9637610816955566,0.2531223380565643,0.7468776619434356,0.8537273073196411,0.6424086678028107,0.9247062683105469
9,0.10652307718992234,0.8934642940759658,0.9434763902425766,0.7087486359477043,0.9688012886047364,0.10580281853675842,0.8941971814632416,0.9439137363433838,0.7080997407436371,0.96835693359375
10,0.09379122644662857,0.9062553066015243,0.950668320953846,0.7137544319033623,0.9714645957946777,0.09065277695655823,0.9093472230434417,0.9524277424812317,0.7148004996776581,0.9727096557617188
11,0.08648145258426666,0.9134487882256508,0.9546266949176788,0.7166089090704918,0.9729795455932617,0.09234745144844055,0.9076525485515594,0.951407231092453,0.7137385928630828,0.9713630676269531
12,0.08148474872112274,0.9184183859825135,0.9573577448725701,0.7184432876110077,0.9739348411560058,0.07108447313308716,0.9289155268669128,0.963091949224472,0.7229409277439117,0.9763417053222656
13,0.07451366543769837,0.9254363983869552,0.9612033551931382,0.7214665520191192,0.9754469108581543,0.07429123759269714,0.9257087624073028,0.9613473856449127,0.7214346778392792,0.9753897857666015
14,0.07318588316440583,0.9267970743775368,0.9619279536604881,0.7219432607293129,0.9757026863098145,0.06667513132095337,0.9333248686790466,0.9654566037654877,0.7246320950984955,0.9771064758300781
15,0.0705041640996933,0.9294953653216362,0.9633890959620476,0.7229700365662575,0.9761982536315919,0.06652316212654114,0.9334768378734588,0.965536767244339,0.7247658681869507,0.9772238922119141
