epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.752150536775589,0.24784441858530046,0.3907437682151794,0.36703972429037096,0.4887661933898926,0.724530246257782,0.275469753742218,0.4311422765254974,0.3903587853908539,0.6126622009277344
2,0.3732886469364166,0.6267130109667778,0.7660371118783951,0.5987533047795296,0.9136919784545898,0.7782122790813446,0.2217877209186554,0.3622327792644501,0.21874938368797303,0.28477714538574217
3,0.2877377027273178,0.7122602817416192,0.8296253657341004,0.6281403928995133,0.9256785583496093,0.27310919761657715,0.7268908023834229,0.8394892334938049,0.6317454397678375,0.9314836883544921
4,0.2567100304365158,0.7432987979054451,0.850484856069088,0.638015301823616,0.9326338577270508,0.255152040719986,0.744847959280014,0.8520131945610047,0.639222787618637,0.9336705780029297
5,0.2268065345287323,0.7731733280420303,0.8704441004991531,0.6489698347449303,0.9400856208801269,0.5212120389938355,0.47878796100616455,0.6445201301574707,0.4954413402080536,0.8770770263671875
6,0.1960049545764923,0.8039931210875512,0.8902154177427292,0.6645769780874252,0.947704906463623,0.1968916368484497,0.8031083631515503,0.89036736369133,0.6659355509281158,0.9482482147216796
7,0.17125874906778335,0.8287231275439262,0.9054864811897277,0.6768889227509498,0.9539178848266602,0.19840324997901918,0.8015967500209809,0.8891249656677246,0.6678027498722077,0.9454557800292969
8,0.15531181931495666,0.844655515551567,0.9150335249304772,0.6838951322436333,0.9574553298950196,0.4758650493621826,0.5241349506378173,0.6823553693294525,0.4679285514354706,0.7975700378417969
9,0.14000977009534835,0.8600221747159957,0.9240825322270393,0.6905646380782128,0.9609342002868653,0.3253392815589905,0.6746607184410095,0.8046830677986145,0.596264420747757,0.8952895355224609
10,0.11110762238502503,0.8888117602467537,0.940851047039032,0.7042048352956772,0.9674897956848144,0.2293461036682129,0.7706538963317872,0.8698858785629272,0.6600586116313935,0.9347800445556641
11,0.10203840285539627,0.8980205008387565,0.9460370683670044,0.7085160893201828,0.9694962692260742,0.11161916136741638,0.8883808386325837,0.9405123972892762,0.7030901801586151,0.9661690521240235
12,0.09040310591459275,0.9097566393017769,0.9524722376465797,0.7133060437440872,0.9719922256469726,0.08690286636352539,0.9130971336364746,0.9544271314144135,0.7150881218910218,0.9718087768554687
13,0.07814535081386566,0.921680161356926,0.959116675555706,0.7186327412724495,0.974531021118164,0.07695470929145813,0.9230452907085419,0.9599109995365143,0.719704452753067,0.9746588897705079
14,0.0704714035987854,0.9293644377589225,0.9632976722717285,0.7219023847579956,0.9760806465148926,0.07843641519546508,0.9215635848045349,0.9591090083122253,0.7188831222057342,0.9739546203613281
15,0.06410179823637009,0.9357511430978775,0.9667550137639046,0.7245225712656975,0.9773850440979004,0.06283970952033996,0.93716029047966,0.9675215804576873,0.725313104391098,0.9773117065429687
