epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.5801502805948258,0.4198496735095978,0.5724044770002366,0.4711297070980072,0.7249604034423828,0.41730802655220034,0.5826919734477997,0.7334457612037659,0.5640676426887512,0.8894575500488281
2,0.3196352332830429,0.6803576800227166,0.8055578771233559,0.6054853871464729,0.9099395561218262,0.5815465402603149,0.41845345973968506,0.5888183009624481,0.39678402900695803,0.7195304107666015
3,0.26335867881774905,0.7366171896457672,0.8454669514298438,0.6284273704886436,0.9261879730224609,0.6061783158779144,0.39382168412208557,0.5622285592556,0.3568133759498596,0.68443603515625
4,0.20389887899160386,0.7960730919241905,0.8842563399672508,0.6584617149829864,0.943043212890625,0.2253514075279236,0.7746485924720764,0.8715117335319519,0.6581561982631683,0.9453412628173828
5,0.175931276679039,0.8240542095899582,0.9021884748339652,0.6723400074243545,0.9509194755554199,0.4749123549461365,0.5250876450538635,0.6854171133041382,0.4241455161571503,0.81408203125
6,0.15228384494781494,0.8477058920264244,0.9169290381669998,0.6835678708553314,0.9572391891479493,0.12270227193832398,0.877297728061676,0.9345017302036286,0.7011654496192932,0.9664442443847656
7,0.1388300132751465,0.8611621078848839,0.924941910803318,0.6894982448220253,0.9605546379089356,0.1427754580974579,0.8572245419025422,0.922919842004776,0.6891203916072846,0.9601407623291016
8,0.13100148171186446,0.8689922162890434,0.9294111362099647,0.6930160263180732,0.9624338722229004,0.4234402012825012,0.5765597987174987,0.7281960642337799,0.47766810059547427,0.8557343292236328
9,0.11920247822999955,0.8807916045188904,0.9363534983992576,0.6985082125663757,0.9652108573913574,0.3218974494934082,0.6781025505065919,0.8052670049667359,0.6013133561611176,0.9029100799560547
10,0.10771846324205399,0.8922759255766869,0.9428908094763756,0.703669377565384,0.967831802368164,0.12266398668289184,0.8773360133171082,0.934538666009903,0.7005838370323181,0.9671807861328126
11,0.105334050655365,0.8946606141328811,0.9442548602819443,0.7038704290986061,0.9682785224914551,0.109729825258255,0.890270174741745,0.9417767608165741,0.702005363702774,0.9682643127441406
12,0.09695644348859787,0.9030382850766182,0.9489306342601777,0.7081606447696686,0.9702575874328613,0.10256224751472473,0.8974377524852752,0.9458573746681214,0.7041320466995239,0.9698282623291016
13,0.09207474380731583,0.9079201152920723,0.9516442906856537,0.70991918861866,0.9711967086791993,0.09009345650672912,0.9099065434932708,0.9527818584442138,0.7121887600421906,0.9727202606201172
14,0.0900531068444252,0.9099418094754219,0.952753678560257,0.7108533883094788,0.9716549682617187,0.0877391016483307,0.9122608983516693,0.9540712475776673,0.7136027526855468,0.9733683776855468
15,0.08633834660053254,0.913656499683857,0.9548095923662185,0.712546266913414,0.9724226188659668,0.08547231078147888,0.9145276892185211,0.9552976930141449,0.7143666589260101,0.9737824249267578
