architecture,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
fcn_vgg_32,1145.9112237,50,0.65595213919878,0.3440478608012199,0.5107476482788722,0.4311050688227018,0.7962387402852377,0.6593619508047899,0.3406792319069306,0.5068376500159502,0.4290518791725238,0.7855580965677897
fcn_vgg_16,1194.275948,50,0.6552845085660617,0.3447154914339383,0.5115098605553309,0.4323845898111661,0.8435693740844726,0.6587554689496755,0.3412860533843437,0.5076366455604633,0.4299783743917942,0.8225031852722168
fcn_vgg_8,513.8191783000002,50,0.6555690839886665,0.3444309160113334,0.511172536512216,0.4321021060148874,0.8590881665547688,0.6600416593253613,0.3399988574286302,0.5059943029036125,0.4286430392414331,0.811023759841919
unet,611.1158353999999,10,0.04590159704287847,0.9540984029571216,0.9764690523346266,0.7232164656122525,0.9468628883361816,0.04423455148935318,0.9557447694242001,0.9773378529896338,0.7240752339363098,0.9481675545374553
