epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.7582080032676458,0.2417920043071111,0.3658772422621647,0.22443712862829368,0.8498308658599854,0.8865797514716784,0.11342024852832158,0.1954276735583941,0.12032985339562098,0.6999447822570801
2,0.6971562982847294,0.30284371425708134,0.4397513888776302,0.2565619700898727,0.9100351174672444,0.683923316001892,0.3160766839981079,0.4510860691467921,0.3279252678155899,0.9404457092285157
3,0.6787742357701063,0.3212257528056701,0.46234279150764146,0.2700033051272233,0.918180513381958,0.6930587306618691,0.30694126933813093,0.4374239439765612,0.31720845252275465,0.9458299954732259
4,0.6449040777981281,0.3550958847006162,0.49997923262417315,0.3087815877050161,0.9315485636393229,0.7037722473343213,0.29622775266567863,0.42381029228369393,0.30728852897882464,0.9506026268005371
5,0.6444694777329762,0.35553049196799597,0.49750261480609576,0.3043481732408206,0.9278863430023193,0.6596374208728473,0.3403625791271528,0.471009994049867,0.30561002939939497,0.9418114344278972
6,0.63851531855762,0.3614846368630727,0.5058889122058948,0.3153110830734173,0.9332517941792806,0.6685173749923706,0.3314826250076294,0.4605484366416931,0.3335529401898384,0.952467123667399
7,0.6274651573350032,0.37253476679325104,0.5185811781634887,0.33155313953757287,0.9364772876103719,0.6910965407888094,0.30890345921119056,0.43565082003672917,0.3744040966033936,0.9544010798136393
8,0.6292858550945918,0.37071403712034223,0.5152949577818314,0.3371942946066459,0.9360114336013794,0.7127088805039724,0.28729111949602765,0.41713068932294844,0.24437884638706844,0.905438232421875
9,0.6013024725019932,0.3986974058051904,0.5449512502799432,0.3747534607847532,0.9426402012507121,0.6440951620539029,0.35590483794609706,0.48898228953282036,0.36952824145555496,0.952931022644043
10,0.6020916452010473,0.39790822540720305,0.5462209065755208,0.3785232689231634,0.9423832178115845,0.6909461299578349,0.3090538700421651,0.4328615893920263,0.383592559893926,0.9546481768290201
11,0.6092067625373602,0.39079311651488147,0.5369454376399517,0.37251211566229664,0.9404178619384765,0.6269938354690869,0.373006164530913,0.508732944726944,0.3724013422926267,0.9465142885843912
12,0.5827296773592631,0.417270136748751,0.565580440312624,0.40248259728153546,0.9459291617075603,0.6424276476105054,0.3575723523894946,0.4842435707648595,0.369345323741436,0.9533169110616048
13,0.5825451832264662,0.41745463336507477,0.5656733284393947,0.40648085127274197,0.9460432847340902,0.6161094059546789,0.38389059404532117,0.5217136581738789,0.4066589002807935,0.9561765988667806
14,0.5825956938167413,0.4174041345715523,0.565175183986624,0.4103106609235207,0.9463732481002808,0.6178182075421016,0.38218179245789846,0.5141877800226211,0.40307304908831915,0.950419807434082
15,0.5776894502341747,0.4223103474825621,0.5699551446984211,0.4093767999360959,0.945320192972819,0.700630196928978,0.299369803071022,0.4177970717350642,0.3804396743575732,0.9568171819051107
