epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.6092911902070045,0.3907083410024643,0.5553735595941544,0.44503110080957414,0.771183910369873,0.5387484896183014,0.4612515103816986,0.6247516632080078,0.47221266984939575,0.8484912109375
2,0.506669489145279,0.4933250081539154,0.653721224963665,0.49028073489665985,0.8572888946533204,0.6397058892250062,0.3602941107749939,0.5258858919143676,0.41901182889938354,0.7362834930419921
3,0.4888235250115395,0.5111696708202362,0.6700348681211472,0.48440316766500474,0.8643406295776367,0.6019360911846161,0.3980639088153839,0.5648003017902374,0.42214474081993103,0.7698062133789062
4,0.46908825367689133,0.530905715227127,0.6868696784973145,0.49721040546894074,0.8735424995422363,0.5466780698299408,0.45332193017005923,0.6194261240959168,0.4863042891025543,0.8307928466796874
5,0.4437209784984589,0.5562724274396896,0.7092473033070564,0.5140522935986519,0.8840796470642089,0.47309088706970215,0.5269091129302979,0.6852018547058105,0.5218804979324341,0.8753579711914062
6,0.4341756874322891,0.5658180901408195,0.7172460526227951,0.5169396460056305,0.8861787796020508,0.43270830512046815,0.5672916948795319,0.7183046460151672,0.5164039504528045,0.890684585571289
7,0.4110906371474266,0.5889028623700142,0.7365371975302696,0.5307744804024697,0.8929490089416504,0.41392978668212893,0.5860702133178711,0.7328809773921967,0.5133219397068024,0.8976985168457031
8,0.38825472742319106,0.6117383378744126,0.7540661692619324,0.5448575139045715,0.8992860031127929,0.3902417135238647,0.6097582864761353,0.7525692462921143,0.5405444347858429,0.9038514709472656
9,0.3396346926689148,0.6603569757938385,0.791234031021595,0.5881234416365624,0.9114871788024902,0.49716870665550233,0.5028312933444977,0.668249214887619,0.5256665456295013,0.8345364379882813
10,0.2593887346982956,0.740603796839714,0.8484960213303566,0.6239210015535355,0.9310651206970215,0.263469272851944,0.736530727148056,0.8466202926635742,0.6291694712638854,0.9331941223144531
11,0.21933190584182738,0.7806620022654533,0.8751634010672569,0.6424748632311821,0.9414282989501953,0.6509628438949585,0.3490371561050415,0.5168083071708679,0.3416300880908966,0.6479336547851563
12,0.19582996100187303,0.8041653296351433,0.8901141315698624,0.6542772787809372,0.9470455169677734,0.3761598610877991,0.6238401389122009,0.7655954718589782,0.5773506045341492,0.8790167236328125
13,0.18067496806383132,0.8193213802576065,0.8996544274687767,0.6620794761180878,0.9506711006164551,0.2876743721961975,0.7123256278038025,0.8305026412010192,0.6219892251491547,0.9232311248779297
14,0.17356743097305297,0.8264294880628585,0.9041729635000229,0.6651190450787544,0.9524325561523438,0.18255746841430665,0.8174425315856934,0.8990223646163941,0.668648499250412,0.9528336334228515
15,0.15841904163360596,0.8415776893496514,0.913280867934227,0.6758736264705658,0.9561491966247558,0.17498961806297303,0.825010381937027,0.9033817100524902,0.668652195930481,0.953559799194336
