epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.38969703078269957,0.6102992585301399,0.7462819012999534,0.5511536076664925,0.8827763938903809,0.6899301278591156,0.3100698721408844,0.4725376975536346,0.23921214938163757,0.5366445922851563
2,0.1603771021962166,0.8396192622184754,0.9124055716395378,0.6769139406085014,0.9557051658630371,0.2155142033100128,0.7844857966899872,0.8788808131217957,0.64760320186615,0.937162094116211
3,0.12033414632081986,0.8796627309918403,0.9357864919304848,0.6951234272122383,0.9652014923095703,0.10974730730056763,0.8902526926994324,0.9418609464168548,0.7039373731613159,0.9679277038574219
4,0.10553427398204804,0.8944632109999656,0.9441476625204086,0.7017419707775115,0.968510856628418,0.2608590352535248,0.7391409647464752,0.8481513166427612,0.6231933474540711,0.9380017852783203
5,0.09711319833993912,0.9028845825791358,0.9487792095541954,0.7047922137379646,0.9702203178405762,0.17868693709373473,0.8213130629062653,0.9011048102378845,0.6641487681865692,0.946656723022461
6,0.0910087701678276,0.9089894297719002,0.952204082608223,0.7068611544370651,0.9715201950073242,0.4122836124897003,0.5877163875102996,0.7383163237571716,0.5011124706268311,0.8457248687744141
7,0.07940825849771499,0.9205901801586152,0.9585493662953377,0.7125794997811318,0.97400390625,0.10574076056480408,0.8942592394351959,0.9439121174812317,0.7046215784549713,0.9687796783447266
8,0.07895826935768127,0.9210402476787567,0.9587923631072044,0.7127820611000061,0.9741459465026856,0.5119800913333893,0.4880199086666107,0.6538514506816864,0.41210925817489624,0.772316665649414
9,0.06899953305721283,0.9309989735484123,0.9642127108573914,0.7181497946381569,0.9761513519287109,0.16019821643829346,0.8398017835617065,0.912081378698349,0.6793499851226806,0.9529505920410156
10,0.06689806789159775,0.9331004533171654,0.965326544046402,0.7189767664670944,0.9765975570678711,0.07004953145980836,0.9299504685401917,0.9636378681659699,0.717813686132431,0.9755194091796875
11,0.06189757138490677,0.938100993335247,0.9680129599571228,0.7214652249217033,0.9776102638244629,0.1554243743419647,0.8445756256580352,0.914666497707367,0.6814897739887238,0.954195327758789
12,0.05802344024181366,0.9419751915335656,0.9700813108682632,0.7235906958580017,0.9783592224121094,0.06402456402778625,0.9359754359722138,0.9668928956985474,0.72013702750206,0.9769764709472656
13,0.055374695658683776,0.944623950123787,0.9714920315146446,0.7250672686100006,0.9788963508605957,0.06948516964912414,0.9305148303508759,0.9638973438739776,0.7190778541564942,0.975845947265625
14,0.054264214038848874,0.9457344582676888,0.972078101336956,0.725350883603096,0.9790700149536132,0.05729142189025879,0.9427085781097412,0.9704839622974396,0.7239376997947693,0.9783370971679688
15,0.050861983001232146,0.949136677980423,0.9738818141818046,0.7272192075848579,0.9797327995300293,0.04998470544815063,0.9500152945518494,0.9743515980243683,0.7280059158802032,0.9798065948486329
