fold,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
0,632.7034378999379,10,0.0459688941637674,0.9540311058362324,0.9764368017514546,0.7237042203545571,0.94740416208903,0.0455707605928182,0.9544088544944922,0.9766211458792288,0.7239581285665433,0.9477742592493692
1,586.4935888000764,10,0.0455681944886843,0.9544318055113156,0.9766466314593952,0.7237705955902736,0.9473350207010904,0.0448669034987688,0.9551130066315332,0.976993266865611,0.7239905912429094,0.9479536453882852
2,575.4311898000306,10,0.0427793199817339,0.957220680018266,0.9781132832169532,0.7250507468978564,0.947840150197347,0.044363883882761,0.9556117181976636,0.9772557901839416,0.7243536242594322,0.948079005877177
3,583.3036989000393,10,0.0466883525252342,0.9533116474747658,0.976052529613177,0.7229569022854169,0.94805269241333,0.0455265749245882,0.9544514754166206,0.9766475568215052,0.7239179234951735,0.9475669940312704
4,568.1420161999995,10,0.04711263130108515,0.9528873686989149,0.9757837563753128,0.7227774500846863,0.9476301511128743,0.04462273630003134,0.9553568929433822,0.9771245166659355,0.7239145244161288,0.9479095061620076
