fold,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
0,631.4328284000512,25,0.1493346765637397,0.8506653234362602,0.9185846388339995,0.5596396540602048,0.9211881319681804,0.1446023291597763,0.8553971660633882,0.9212705615907908,0.5583401719729105,0.9229218006134032
1,609.1252579999855,25,0.4031051615873972,0.5968948384126027,0.7436173687378566,0.3718293830752373,0.7580158233642578,0.4002930987626314,0.599706822882096,0.7461498338729143,0.3730970755219459,0.7599451144536337
2,605.4755432999227,25,,,,,0.3679097175598144,,,,,0.3622378746668497
3,614.8285196999786,25,,,,,0.6613735516866048,,,,,0.6590689738591512
4,627.4995101999957,25,,,,,0.6617862701416015,,,,,0.658965794245402
