epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.40306899458169937,0.5969296362996102,0.7397156426310539,0.4868446570634842,0.871624698638916,0.31880806922912597,0.681191930770874,0.8078422772884369,0.5014917099475861,0.9137998199462891
2,0.2819004997611046,0.7180984491109847,0.833606424331665,0.5535106280446053,0.9217204856872558,0.3925794720649719,0.6074205279350281,0.7536407876014709,0.5509080457687378,0.9079282379150391
3,0.21462381064891814,0.7853753212094307,0.877915687263012,0.5863449946045876,0.9394363021850586,0.1990322744846344,0.8009677255153655,0.8886448979377747,0.6305124855041504,0.9464266204833984
4,0.15287719905376435,0.8471220323443412,0.9165948277711868,0.6427499848604202,0.9565253829956055,0.20435721874237062,0.7956427812576294,0.8857580399513245,0.6296807134151459,0.9428473663330078
5,0.1408884581923485,0.8591109028458596,0.9233181893825531,0.6495341843366623,0.9592856788635253,0.13035486578941347,0.8696451342105865,0.9297864878177643,0.6185767114162445,0.9616453552246094
6,0.122447170317173,0.8775522357225418,0.9343677788972855,0.6666393145918846,0.9638008499145507,0.147667555809021,0.852332444190979,0.9199945080280304,0.6228088760375976,0.9570481872558594
7,0.09919241487979889,0.9008069565892219,0.9476317757368088,0.6846464747190475,0.9691512298583984,0.12599528789520265,0.8740047121047974,0.9319512164592743,0.6605443191528321,0.9632024383544922
8,0.11506788700819015,0.8849315416812896,0.9384317401051522,0.6706524077057838,0.9652565765380859,0.340092933177948,0.659907066822052,0.7928978312015533,0.5386962866783143,0.9224173736572265
9,0.09318026095628738,0.9068192103505135,0.9508665120601654,0.6867188557982444,0.9704734802246093,0.0886818826198578,0.9113181173801422,0.9534339582920075,0.6831098961830139,0.97197998046875
10,0.07942200422286988,0.920577481687069,0.9584995222091675,0.697412191927433,0.9734035110473633,0.17774851322174073,0.8222514867782593,0.9019322752952575,0.634031126499176,0.9499651336669922
11,0.08559004545211792,0.9144093462824822,0.9550453612208366,0.6947115144133568,0.9720466995239258,0.07527257323265076,0.9247274267673492,0.9608240985870361,0.7047926223278046,0.9753357696533204
12,0.07057986080646515,0.9294195622205734,0.9633218565583229,0.7039291056990623,0.9753599166870117,0.07812973141670226,0.9218702685832977,0.9592683267593384,0.7074738502502441,0.974789810180664
13,0.06437541335821152,0.9356240412592888,0.9666724559664727,0.7083504924178123,0.9766323661804199,0.08150192141532898,0.918498078584671,0.9573124015331268,0.7015669763088226,0.9737975311279297
14,0.06015571802854538,0.9398437666893006,0.9689371535181999,0.7108019661903381,0.9774675559997559,0.06079508662223816,0.9392049133777618,0.9686199295520782,0.714647525548935,0.9781617736816406
15,0.05598969876766205,0.9440097972750664,0.9711476075649261,0.7134873259067536,0.9783077430725098,0.052817142009735106,0.9471828579902649,0.9728535628318786,0.7178587257862091,0.9796006774902344
