epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.7424726498126983,0.2575275418162346,0.3995241236686706,0.3919471678137779,0.8487753677368164,0.7936413311958312,0.2063586688041687,0.3415198910236359,0.2798431348800659,0.27676239013671877
2,0.2926175233721733,0.7073823228478432,0.8242942693829537,0.6425873857736587,0.9427154731750488,0.7731908941268921,0.2268091058731079,0.36917327880859374,0.21655446410179138,0.30866897583007813
3,0.1754731532931328,0.8245263621211052,0.9030127379298211,0.6846928301453591,0.9561865997314453,0.6732014989852906,0.3267985010147095,0.49144649982452393,0.3151793920993805,0.5753884887695313
4,0.12743223160505296,0.8725601723790168,0.9316293722391129,0.7024231839179993,0.9654294013977051,0.18780545711517335,0.8121945428848266,0.8960697340965271,0.677567664384842,0.9489046478271485
5,0.09973672926425933,0.9002571186423302,0.9472811549901963,0.7124289545416832,0.9706742095947266,0.34474008440971377,0.6552599155902863,0.7902754080295563,0.5929929065704346,0.8883698272705078
6,0.08867166548967362,0.9113195222616196,0.9534101316332817,0.7162233147025109,0.9725486755371093,0.11739200949668885,0.8826079905033112,0.9374978911876678,0.704318345785141,0.9657444763183594
7,0.0834790313243866,0.916482706964016,0.9561385056376457,0.7180282133817673,0.9734443283081055,0.09265424251556396,0.907345757484436,0.9512248766422272,0.713694018125534,0.9724795532226562
8,0.08149801850318909,0.918519310951233,0.9573472681641578,0.7185863840579987,0.9737997436523438,0.07095431685447692,0.929045683145523,0.9631770515441894,0.7231322991847992,0.9767916107177734
9,0.06526046484708786,0.9346827948093415,0.9661681047081947,0.7250723364949226,0.977019100189209,0.05861586809158325,0.9413841319084167,0.9697768867015839,0.7277354943752289,0.9790971374511719
10,0.05815991461277008,0.9418924242258072,0.9700317668914795,0.7279068675637245,0.9784364700317383,0.056508387327194216,0.9434916126728058,0.970882111787796,0.7285674703121185,0.9792206573486328
11,0.05556918054819107,0.9445686623454094,0.9714448416233062,0.7288042357563973,0.9789476585388184,0.05002043604850769,0.9499795639514923,0.9743231010437011,0.7310894179344177,0.980444564819336
12,0.049495945870876315,0.9503871273994445,0.9745286783576012,0.7310647848248482,0.9800103378295898,0.04837731122970581,0.9516226887702942,0.9751925015449524,0.7316568458080291,0.9806929779052734
13,0.04694782435894013,0.9529130065441132,0.9758655333518982,0.7319787740707397,0.9805121803283692,0.048305643796920775,0.9516943562030792,0.9752308583259582,0.73153226852417,0.9807801818847657
14,0.04522289931774139,0.9546379673480988,0.9767704194784165,0.7326843053102493,0.9808153915405273,0.04540295124053955,0.9545970487594605,0.9767567455768585,0.732808598279953,0.9812317657470703
15,0.043585847914218906,0.9562737753987313,0.977626677453518,0.7333138862252235,0.9810942840576172,0.04553583741188049,0.9544641625881195,0.9766869795322418,0.7326834475994111,0.981217041015625
