epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.7880539226035277,0.21194498675564924,0.3261498694618543,0.3389409837623437,0.8372909943262736,0.872333574295044,0.12766642570495607,0.21045197000106175,0.26636353780825933,0.933731206258138
2,0.7223437731464704,0.2776549898087978,0.4131738389531771,0.3730147652328014,0.9237908681233724,0.6983126605550448,0.3016873394449552,0.4377784490585327,0.38480824828147886,0.9337961196899414
3,0.7093327037990094,0.29066630254189174,0.4280554000288248,0.3755827204634746,0.9272325038909912,0.7021556044618289,0.29784439553817116,0.43769081234931945,0.35590166548887886,0.9164928436279297
4,0.701028823107481,0.2989702545106411,0.43918172381818293,0.37722446595629056,0.9289345820744832,0.7597745199998219,0.24022548000017802,0.37129531304041546,0.2721777672568957,0.8538406689961752
5,0.6953505701074998,0.3046486342946688,0.4462522645791372,0.3762250665575266,0.9298281192779541,0.803679280479749,0.19632071952025096,0.3167179773251216,0.25295632928609846,0.8578139305114746
6,0.6949038871874412,0.3050953314950069,0.44787228144705293,0.3749784914155801,0.9320466836293538,0.7908990080157916,0.20910099198420842,0.3317923958102862,0.2750082924962044,0.8508526484171549
7,0.6730247106403112,0.32697451921800774,0.47201139802734055,0.38823343329131604,0.9347343683242798,0.6583657562732697,0.34163424372673035,0.4840093816320101,0.38474193463722867,0.9349598566691081
8,0.6739780696729819,0.3260211014499267,0.4703191950917244,0.389182323589921,0.935632570584615,0.6543756738305092,0.3456243261694908,0.4892657915751139,0.39270317405462263,0.9352446556091308
9,0.6719583166142304,0.32804082992176214,0.47232526962955795,0.39009887824455897,0.9359177430470784,0.7358625774582227,0.2641374225417773,0.3987321654955546,0.3569462383786837,0.9053242365519206
10,0.6674010269343853,0.33259812792142235,0.4782685733089844,0.3940266223003467,0.936504848798116,0.6581408590078354,0.34185914099216463,0.48621847480535507,0.39371407677729925,0.937221082051595
11,0.6645934301118056,0.3354057352989912,0.4803258545696735,0.39628403733174006,0.937127415339152,0.6455270901322365,0.35447290986776353,0.4996715227762858,0.40684837152560555,0.9367680231730143
12,0.6606938067823649,0.33930531504253547,0.48638061558206874,0.39970007141431174,0.9377572218577067,0.6452618673443794,0.3547381326556206,0.5007935240864754,0.3951378102103869,0.9288853963216146
13,0.6711886384834845,0.3288105264306068,0.47450522097448505,0.39216425915559133,0.9362175067265829,0.6454732795556386,0.35452672044436134,0.49990517695744835,0.40458189795414606,0.9358652114868165
14,0.6631032812098662,0.33689579777419565,0.48237220669786135,0.4006906083474557,0.937552539507548,0.6504326850175858,0.3495673149824142,0.49584613293409346,0.40106541564067205,0.9357255299886068
15,0.6608224445333083,0.33917665456732116,0.48540355612834296,0.400721804673473,0.9375987609227499,0.6715447753667831,0.32845522463321686,0.4707070862253507,0.3952135642369588,0.9412231127421061
16,0.6492543281366427,0.3507446764657895,0.4973419427871704,0.41206842499474683,0.9397542635599773,0.6530380969246229,0.34696190307537716,0.4910326366623243,0.41323255797227226,0.9405821800231934
