epoch,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy
1,0.9407427582935411,0.059257214458621275,0.10694729746604452,0.16790930027864417,0.06101499129314812,0.9393826452787315,0.060617354721268474,0.10867839973863537,0.14916167066692335,0.060476546867053234
2,0.9373859727139375,0.06261395736616485,0.11221024077765795,0.15870925803573765,0.13371326368682238,0.9367593604627674,0.06324063953723254,0.11307234738818195,0.15941618327021015,0.23148848979352543
3,0.9297753954177,0.07022458456000504,0.12500871522086007,0.20302063433491455,0.5176682297064333,0.9289454604828727,0.07105453951712729,0.1261817744855585,0.1955601296844918,0.48507803688236006
4,0.9228779432238364,0.077121989483736,0.1360385453457735,0.2218927876073487,0.6296083644944794,0.9203147178372979,0.0796852821627021,0.1403372009660058,0.22840620079009413,0.6577825790322819
5,0.9103917028952618,0.08960817176468518,0.15717244445061196,0.24695177477233263,0.7211849056944555,0.9142518870009878,0.08574811299901218,0.15110593693874788,0.27328792520681755,0.8673559151115853
6,0.903793055500303,0.09620680835782265,0.16844612308910914,0.25694067602254905,0.7664025053686025,0.9307958844435351,0.06920411555646488,0.12452709334515047,0.17400419702343217,0.4458918341026804
7,0.8993897161191824,0.10061012306991889,0.1769499956588356,0.26698378550763036,0.8048067053970025,0.9004700242209007,0.09952997577909933,0.17604899630072066,0.27611722069113326,0.8494129917944431
8,0.8954043022223881,0.1045956332099681,0.1833267217023032,0.27111769055833623,0.8204679060955437,0.9033359384458955,0.09666406155410442,0.1716401566300073,0.2817731295479841,0.8880506747115106
9,0.8936392260570916,0.1063606359520737,0.18626894846254466,0.27240354221694324,0.829322195247728,0.9006564239887779,0.09934357601122211,0.17605528220850336,0.2819415549664085,0.8873263074367703
10,0.8925223568507603,0.10747778817098969,0.18820432957337827,0.2732168960814573,0.8347721193274673,0.9023655603410369,0.09763443965896308,0.17351009270106404,0.28010969449800927,0.8836987896611213
11,0.89103549855096,0.10896421829048468,0.19058796026268784,0.2746420979743101,0.8403286712023676,0.9021631606640279,0.0978368393359721,0.17369462984810063,0.2816723903085046,0.8948874398701343
12,0.8891588251444759,0.11084139677943015,0.19326832997555635,0.2768144977336027,0.8448433918855628,0.9022751014928834,0.09772489850711667,0.17226369618202694,0.239244332224082,0.7455643638117667
