seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
17,OWF4ZQSNMWAQNAALRT2OZ7KBCAXAQCQAG3YADTA_192,4,2,4,909.7291977999994,48,0.3321257675687472,0.6678742324312528,0.7844332158565521,0.6194604987899462,0.975408681233724,0.2623726397752762,0.7376255628963312,0.8395624910791715,0.6527002224077781,0.9794543345769248
18,AAAAAAAAAAAAAAAAAAAOLUABSTRE7C5ZWBIAHEQ_192,4,2,2,4101.6739371,32,0.5578030417362849,0.4421969582637151,0.5911388034621875,0.5072598392764728,0.9403413136800132,0.3913061289737622,0.6086832755555709,0.7413745366036892,0.5958540799717108,0.9675360600153604
19,AA2MYACHA2VKHOCGBQADIMAD6X7HZEQAGJB5AVA_192,4,2,4,1390.235793800006,44,0.3503643905123075,0.6496356094876925,0.7716115529338519,0.6231455246607462,0.97566499710083,0.2847302091618379,0.7152967393398285,0.8229680000493924,0.6516717702150345,0.9791602532068888
20,AAPRPQCELGRAL5XKRQAGZEABQG7MLCQAHZAAA5Q_192,4,2,4,4434.8779842,63,0.2781077379981677,0.7218922620018323,0.8281751642624537,0.6483255833387375,0.979916795094808,0.2084158840278784,0.7915803151826064,0.8764576572924853,0.6764011564354102,0.983184297879537
21,AAAAAAAAAAAAAAAAAE3MCEADOJ5CIFQAE2WUPEA_192,4,2,2,3752.126011499997,45,0.3591259857018788,0.6408740142981212,0.7637634262442589,0.6056557188431422,0.9748847961425782,0.3067228356997172,0.6932752322405576,0.806391824161013,0.6291437048465014,0.9747902552286783
22,AAAAAAAAAAAAAAAAAAAB2EAA64FHXLQAPDIABDA_192,4,2,2,764.0792753999995,18,0.7745917389790217,0.2254082610209783,0.3542695139845212,0.384662060936292,0.9038391749064127,0.7142500994106133,0.2857442027578751,0.4252710492660602,0.423917888601621,0.9279564539591472
23,AAAAAAAAAAAO3JXFSQAG2MAAYQUEHPQAPD7RBNA_192,4,2,3,272.3937745000003,14,0.663518887758255,0.336481112241745,0.4751813088854154,0.4109232783317565,0.9410003980000814,0.6240618678430716,0.3759365235765775,0.5216257964571317,0.4462328317264716,0.9390199422836304
24,6CEDIABNXQDIR4UHWT36BFOFYK7MYJQAODQAGNQ_192,4,2,4,5459.796178900004,67,0.2930915271242459,0.7069084728757541,0.8153771524628003,0.640186587969462,0.9784881591796876,0.2864422208319108,0.7135554348429044,0.8205911469956239,0.6403799238304297,0.9773516178131104
25,AAAAAAAAAABSTAAOGAAPZEW7LQRFYIQADIQAB4Q_192,4,2,3,1504.2916675000015,58,0.298868707815806,0.7011312921841939,0.8119487062096595,0.6361645941932996,0.9763923327128092,0.2683450841655334,0.7316504153112571,0.8365276873111724,0.6511702513943116,0.979471476872762
26,AA4FIABEEABGJAA4DEJPAPOHIDZKYMQAPKQABTA_192,4,2,4,8508.678695900002,59,0.2636391590038935,0.7363608409961064,0.8368748764197032,0.6499651307861011,0.9789390246073404,0.1901847824454307,0.8098137297978004,0.8904623297353585,0.6827785776307186,0.9837279001871744
27,OSGG3VJAQAD2VAA4XS37ZEAA2YABTG5B6CJVGEA_192,4,2,4,8279.295291999995,54,0.2525539830327034,0.7474460169672966,0.8447225799163183,0.6568522691726685,0.9811038653055828,0.1492133423686027,0.8507857014735539,0.9169738343606392,0.6995692046980063,0.9859073082605998
28,AAAAAAAAAAAAAAAAAAANZ4AAWQAAJGQAPBIABRI_192,4,2,2,1595.8682651999989,29,0.6645458519458771,0.3354541480541229,0.4829856519897779,0.4485297441482544,0.9357859929402668,0.6598140022406975,0.3401777271181345,0.4878160624454419,0.449493437136213,0.9386938015619912
29,AALWYAGVIAA2JGX7VQAGK4ADOWAARZQAHKBE2TA_192,4,2,4,5039.928792799998,59,0.3021594340602557,0.6978405659397443,0.8104329655567805,0.6279043098290761,0.9756123860677084,0.2501423113048077,0.7498570695519448,0.8498915651192268,0.6558084901422262,0.9805873235066732
30,6COFPAODAAAXR44GQ7DOYVYZ3QAAUB5J5Z7HCQA_192,4,2,4,3606.1191379999946,35,0.2620298867424329,0.7379701132575671,0.8364580015341441,0.6594692294796308,0.981347624460856,0.1816824824859698,0.8182170038421949,0.8954789734135071,0.6918611938754717,0.9848745425542196
31,AAAAAAAAAAAAAAAAADJ6BUADIMAAIY5JPA3B2EQ_192,4,2,2,1376.4761247999995,16,0.6530380969246229,0.3469619030753771,0.4910326366623243,0.4132325579722722,0.9405821800231934,0.6492543281366427,0.3507446764657895,0.4973419427871704,0.4120684249947468,0.9397542635599772
32,AAAAAAAAAAAAAAAAAAACJMOA3QXBUZQAMZBUI4I_192,4,2,2,848.0492580999999,46,0.4550160765647888,0.5449839234352112,0.6807282318671545,0.5686195666591326,0.9651183446248373,0.4218670758108298,0.5782185070216656,0.7165872383862734,0.5885636574278276,0.9677844842274984
