seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy,gradnorm,synflow,RN,NTK
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,472.2532508000149,6,0.914291869600614,0.085708130399386,0.1518769174814224,0.0818667079011599,0.7764874458312988,0.91001523869733,0.0899847040573755,0.1576903045177459,0.0851435503611962,0.7786543130874634,2.3110523223876953,-3098386.4311027527,0.0,9679718.0
1,AAAAAAAAAAAAAAAAAAAHCHGVQT4I7EQAFAHBI4Q_192,4,2,2,1367.4920302000246,46,0.4877816925446192,0.5122183074553808,0.658540353178978,0.5501215934753418,0.9594263712565104,0.4929231350620587,0.5070620534320672,0.6537346015373866,0.5485100285460551,0.9600017786026,0.16517969965934753,-6.065627858244913e+19,0.0,-29.065542221069336
2,AAAAAAAAAAAAAAAAAAADJ56LYPVY4A4KUZQAARY_192,4,2,2,634.3735241999966,17,0.6698144808411598,0.3301855191588402,0.4762124250332514,0.4186724339922269,0.945331637064616,0.618256305406491,0.3817426647990942,0.5308874748647213,0.4320784661918878,0.9443017959594726,0.8466616868972778,-90350650.10736656,0.0,-70.00376892089844
3,AAAAAAAAAAAAAAAAAAAF2MADYQABTZUZWZQABMA_192,4,2,2,1284.6017440999858,38,0.4129091670115788,0.5870908329884211,0.7249554639061292,0.5743583053350448,0.9685235659281412,0.4181408070027828,0.5818581347664197,0.7156573913991451,0.5673241703460614,0.9652888456980389,0.12354055047035217,-10886951.020145416,0.0,-1623.0389404296875
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,205.95497209997848,8,0.9442994460463524,0.0557005539536476,0.1037054379781087,0.1168910384178161,0.0506404558817545,0.9433588511000076,0.0566411408285299,0.1053409989923238,0.1186256820956866,0.0517304340998331,0.04771818965673447,-76676.6875,0.0,8914463.0
5,L4CSYABB3IIOLOFEDAABBMAAQYAALFXDUBT4H5Y_192,4,2,4,845.31350009999,49,0.4617897401253382,0.5382102598746618,0.6742706442872684,0.5667470271388689,0.9683624903361002,0.4105744427690903,0.5894493125379086,0.7198056799670061,0.5891087956726551,0.9673626025517782,0.044850315898656845,-808473.5400342345,0.0,-3007.4453125
6,AAYQYABNEAB2L3RN4FDUKEABWYABZIQAN6IAHVQ_192,4,2,4,1721.1517423999612,51,0.264330606162548,0.7356693938374519,0.837426254649957,0.6568771695097287,0.9809477806091308,0.1424726621558268,0.8574878634264071,0.9203110395620266,0.7046225474526485,0.9865373214085896,0.22323383390903473,-109607.0602010121,0.0,-338.4399719238281
7,AAAAAAAAAABGBAA2HAADK4ABRQAA3BRANDAAHXA_192,4,2,3,432.66250870004296,23,0.6247376749912897,0.3752623250087102,0.5233312860131264,0.4471485073367754,0.9205078125,0.5736511406799157,0.426340922464927,0.5724359051634867,0.4865383584052324,0.9468795458475748,1.0215498208999634,-28979218.101524148,0.0,-64.06583404541016
8,AAAAAAAAAAAAAAAAAEBBBUADIXRJ4LQAMAKMPEI_192,4,2,2,925.1416600999656,25,0.7587004070480664,0.2412995929519335,0.3580308198928833,0.3613573933641116,0.9506335258483888,0.563899427652359,0.4360994839419921,0.5836757407834132,0.4827451975395282,0.9501667499542236,1.3710386753082275,-16042223.151542172,0.0,-228.01156616210938
9,AAAAAAAABYPQ76H3QEBWA4ADOE3EQMQAELQACBI_192,4,2,3,6358.48119729996,33,0.5655417193969091,0.4344582806030909,0.5699378445744514,0.4445694754521052,0.9566837946573892,0.5158645657201608,0.4841350066165129,0.6307414780060451,0.4889477814237277,0.9569081624348958,0.6621398329734802,-27.03105234885311,0.0,-4394371.5
10,AAIQIAGFRIJIXAA6V4DOJVSUOAAA7PQAF6J56QQ_192,4,2,4,3150.46698649996,49,0.2359283218781153,0.7640716781218847,0.8574473286668459,0.6626746366421382,0.9815560976664224,0.2000702677915493,0.7999275346597036,0.8840124799559513,0.679372417802612,0.9832088073094686,4.414518356323242,-159471256901650.75,0.0,-40.0217399597168
11,AAAAAAAADGIWRAAGWAAPKEADZQAAYBVJNDAAGNQ_192,4,2,3,2066.492570100003,39,0.376939490934213,0.623060509065787,0.7486343046029409,0.6048350562651952,0.973212718963623,0.3513642364492019,0.6486060980707407,0.7705887589603663,0.6142282582819462,0.9728955666224162,0.2622828185558319,-34954.104651074456,0.0,-22.2731876373291
12,AAAAAAAADW4SBYU6MFDWBMADO4AAHYQADKIAGXA_192,4,2,3,822.0509498000029,8,0.942648591597875,0.057351408402125,0.1061530907948811,0.1468157231807708,0.0530099550882975,0.9443946537872157,0.0556051320085922,0.1035884395241737,0.1461153288682301,0.0511380592981974,0.036417439579963684,-201306.29891735024,0.0,27601236.0
13,AAAAAAAADWPQNAA5TAAHC4ADWAAA5LQAHJKN7BY_192,4,2,3,46765.21015589999,39,0.3316027293602625,0.6683972706397374,0.7855830445885659,0.6029766355951627,0.9701910018920898,0.3361144335319598,0.6638839642206827,0.782924051831166,0.6077100150287151,0.9746085246404012,0.39903756976127625,-175534149.1084857,0.0,-25.203353881835938
14,AAAAAAAAAAAAAAAAAAAH3M6R2UZO5YQAC3AAB5Y_192,4,2,2,375.6397313000052,34,0.4989776516954104,0.5010223483045896,0.6508474205931027,0.5275449166695277,0.9492188135782876,0.5124801592280467,0.4875153263409932,0.6345564304540555,0.5286181227614483,0.958628265062968,0.05427802354097366,-591794.2676429749,0.0,-247.68521118164062
15,AAAAAAAAAAAAAAAAAAANYEABQCAANJXLFBIAD7A_192,4,2,2,337.77254089998314,20,0.63009718755881,0.3699028124411901,0.5125027999281884,0.4141407330830892,0.9353229840596516,0.59650587203602,0.403492925564448,0.5524322443952163,0.450553561002016,0.944716215133667,0.40048518776893616,-0.569073801721089,0.0,114284120.0
