Unnamed: 0,seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,num_parameters,flops,val_iou_bin,gradnorm,synflow,RN,NTK
790,794,AAAAAAAAAADI3IADSAAGGNOMK4AA7J4GMJYABQQ_192,4,2,3,84.8199900230029,15,0.0517370462417602,0.9482629537582398,0.973419544696808,0.7271260821819305,0.9796273040771484,327620,3673001984.0,5,0.030888628214597702,-81103.37944097165,0.0,-115.63776397705078
284,286,AAAAAAAAAABOFAAIVQAFIUABTQAAFAQAB2YAH5A_192,4,2,3,73.81938400003128,15,0.050866641998291,0.949133358001709,0.9738672602176668,0.7285903441905975,0.979474868774414,578633,3899445248.0,5,0.32823118567466736,-2051990.9356708024,0.0,-79.8197021484375
71,71,AAAAAAAAAABYJGMDSSJRIPWISUAA3HQAG6IADUQ_192,4,2,3,130.2247761380022,15,0.0558242321014404,0.9441757678985596,0.9712649273872376,0.7250362753868103,0.9790104675292968,251034,4075233280.0,5,0.10669457167387009,-9938.967035962269,0.0,-366.9427185058594
460,462,AAJTYABRQINCLDRMAVKXDEQYO2YMZBSJSAXRDNY_192,4,2,4,57.31900219999807,15,0.0475066235661506,0.9524924266338348,0.9756499090790748,0.7282104760408401,0.9804254722595216,136490,501786624.0,6,0.0667777955532074,-92920.52211354561,0.0,-3001.547607421875
607,610,AAAAAAAAB25I7AAECQAHA5IYIUUBTEQADZQACEI_192,4,2,3,56.06268439900305,15,0.0433203661441803,0.9566796338558196,0.9778527057170868,0.7316018187999725,0.9817357635498049,198981,678854656.0,6,0.09674111008644104,-26916.926343566913,0.0,-35.96216583251953
508,510,IRGHYAGR4AB3TIGGBAAMZVKBI6AAYOQADLYAGRA_192,4,2,4,78.92765785800293,15,0.0454624533653259,0.954537546634674,0.976728262901306,0.7290128207206726,0.9805052947998046,238173,895262720.0,6,0.296478807926178,-28174995.155425116,0.0,-69120.2421875
259,261,AAAAAAAAAAARRFWIVAAOKUAA2KAALJTGHJRE25Q_192,4,2,3,193.6137791001238,15,0.0438716900348663,0.9561283099651336,0.9775617563724518,0.7312976706027985,0.9812248992919922,172251,1615290368.0,6,0.1075267568230629,-2547910.293887913,0.0,-19.319677352905273
339,341,6ADWYAD5AABKHAAPRBDPKMAB6IZGYOVYRJO5TEY_192,4,2,4,231.70138589999988,15,0.0443967145681381,0.9555866387486458,0.977278831899166,0.7323745727539063,0.9810449409484864,155403,1791651840.0,6,0.07237435132265091,-182699.45711374283,0.0,-47.3814582824707
108,109,AAAAAAAAAADDTAAGMQAGONGN7QABYPQACZYACEY_192,4,2,3,129.68245867599944,15,0.0471634662151336,0.9528365337848664,0.9758325457572936,0.732225445508957,0.9805467224121094,761305,2144665600.0,6,0.034813981503248215,-358167.06405717274,0.0,-229.96841430664062
356,358,AAAAAAAAAAAAAAAAAAAE3EAAIEAAVOQAEZSM3NY_192,4,2,2,53.250475200002256,15,0.0440524840354919,0.955965697169304,0.9774708530306816,0.7319918012619019,0.9811357879638672,117509,2195128320.0,6,0.0561397448182106,-257877.06643807888,0.0,-268.06365966796875
222,224,AAAAAAAAAAAAAAAAAAAMGEAA3Q7EMKWLELGXD4I_192,4,2,2,110.38884939998388,15,0.0455358374118804,0.9544641625881196,0.9766869795322418,0.7326834475994111,0.981217041015625,184503,2636378112.0,6,0.0345526747405529,-348503.6549372544,0.0,-18.64900016784668
794,798,AAAAAAAABAVSRAA2TWLHDUABWCABXIWISDYACRY_192,4,2,3,131.61772317400028,15,0.0461869513988494,0.9538130486011503,0.9763373923301696,0.7289512157440186,0.9805789184570312,171427,2831876096.0,6,0.017777075991034508,-141158904321000.62,0.0,-59.547874450683594
680,683,AAAAAAAAAABYNAA2DVIGCEAA3T7CMZQANCSTC4I_192,4,2,3,109.3926337150042,15,0.0470431351661682,0.9529568648338318,0.9758979439735412,0.7279941689968109,0.9802398681640624,288030,3160314880.0,6,0.20454291999340057,-43697172.98749266,0.0,-146.4022674560547
887,891,PSMEIACVEADABAAMQMAMI5QJGWAAIDQAB6IAC5A_192,4,2,4,48.902331938001225,15,0.0415852332115173,0.9584147667884828,0.9787540686130524,0.7331730580329895,0.9808331298828123,212653,1445587968.0,7,0.4402371942996979,-235229.34337329865,0.0,-37.27435302734375
475,477,CT3VYAA442IYFAAJTW6HZ4ABSNUMVZ4IVIGABEY_192,4,2,4,212.8365425000011,15,0.0402549639344215,0.9596586507558824,0.9794051784276964,0.7348279818892479,0.9818021392822266,177111,1909349376.0,7,0.042692288756370544,-27736.52760075446,0.0,-588751.75
40,40,AAAAAAAAAABSJAAKUAAOCEAAW6LYNBVBXGJMWHA_192,4,2,3,201.892928406,15,0.0412257480621337,0.9587742519378664,0.9789348268508912,0.7332236576080322,0.9807941436767578,259879,2578908160.0,7,0.11331004649400711,-3782898.902557522,0.0,-111.47673034667969
614,617,YXHXYACEQADGVIDKBAAHDEAAYGZB4FQAMJKMJBA_192,4,2,4,117.88769581000088,15,0.039267691373825,0.960732308626175,0.9799677562713623,0.7331902313232422,0.9820913696289062,1496437,3300790272.0,7,0.6984844207763672,-3010382.3362571755,0.0,-150.66175842285156
686,689,AAKE3A2ELCB2B6EIMQAMCMABKCAB4DUYUOBRDRI_192,4,2,4,116.56719596698532,15,0.0381628382205963,0.9618371617794036,0.980535100698471,0.7335536348819732,0.9814632415771484,319615,3611501568.0,7,0.31864047050476074,-1963809020061.0505,0.0,-20.15676498413086
262,264,2MESYAC4MADSLAACQQAHAUADKWAAXMQAFCDDDAA_192,4,2,4,287.713531000074,15,0.0394316148757934,0.9605683851242064,0.9798747193813324,0.734476283788681,0.981640396118164,303277,4434335488.0,7,0.16591611504554749,-3482132.3281514645,0.0,-351.44317626953125
891,895,AAIMYADNHC5PTAAGAQACD4AB2CAAJAX2523RJVY_192,4,2,4,67.9379772379998,15,0.0412296414375305,0.9587703585624696,0.978941819667816,0.7340567207336426,0.981203842163086,446823,4529608704.0,7,0.07924827188253403,-203204.37058496475,0.0,-4.706079483032227
861,865,AAAAAAAAAADGBDU6HQAG25OZQMABXOQAEYOVZDA_192,4,2,3,164.36299845799977,15,0.0400826501846313,0.9599173498153688,0.9795321261882782,0.7317397463321685,0.9807966613769532,1166250,5135068160.0,7,0.0009275392512790859,-55585034.557661004,0.0,-207818.046875
688,692,AAAAAAAAAAAAAAAAAAANOEADAAAA3N4OEIXFTNI_192,4,2,2,179.821505898,15,0.0402839958667755,0.9597160041332244,0.9794308638572692,0.72482834815979,0.981315460205078,449465,5602099200.0,7,0.4797688126564026,-23.710762938851985,0.0,10846160.0
478,480,AAAAAAAADORWZAAMBQAFDUABYOAA7H7YWD7UTBY_192,4,2,3,192.0859141000037,15,0.0391378587484359,0.9608577874302864,0.98002733618021,0.7339495065808296,0.9818195915222168,427001,5955305472.0,7,0.10064902901649475,-406040.67975595593,0.0,-33.03266906738281
345,347,AAAAAAAAB2JSZAAIAQAFJMAAWW7MVIQAMCQACMQ_192,4,2,3,49.07890169999882,15,0.0372952654957771,0.9627039903402328,0.9809894385933876,0.7332635381817818,0.9820639991760254,141399,1137049600.0,8,1.0403687953948975,-1.8467220273205385,0.0,163772272.0
624,627,AAAAAAAAAAAQBAAGTQAFJUAB6Z5I5Z5DG3IAGEA_192,4,2,3,52.96698454300349,15,0.0353072071075439,0.964692792892456,0.9820214128494262,0.7357482242584229,0.9828474426269532,352417,1495216128.0,8,0.07257851958274841,-294444.09882273,0.0,-48.60963821411133
477,479,AAAAAAAAAADINAAEAAAHBXDR6WAAXAQAEAQABHA_192,4,2,3,126.0527790000051,15,0.036530869603157,0.9634675651788712,0.981379904448986,0.7334688797593116,0.9816977882385254,136529,2209491968.0,8,0.21921057999134064,-0.23543435658405265,0.0,-1095716.125
