seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
620,AAAAAAAAAAAAAAAAANI4DEAAQCAAUC6GC2GBBRI_192,4,2,2,223.7196076179971,15,0.1346555256843566,0.8653444743156433,0.9272843611240388,0.6831131732463837,0.9625799560546876,0.1360216763615608,0.8639761191606522,0.926382972896099,0.6776980519294739,0.9600224494934082
623,AAAAAAAAAAAAAAAAACC7AEADS2AAFK66OITMARQ_192,4,2,2,3345.4927943619987,15,0.179832420349121,0.8201675796508789,0.9007085585594177,0.636504760980606,0.9517704010009764,0.1742522129416465,0.825746785402298,0.9041517275571824,0.636191782951355,0.9517000579833984
629,AAAAAAAAAAAAAAAAAMYPIHKFKUAANPQAF3AAA4Q_192,4,2,2,369.38618708099966,15,0.1294506883621216,0.8705493116378784,0.9304660940170288,0.6851201224327087,0.9613198089599608,0.1216843727231025,0.8783138102293014,0.9349965244531632,0.6905278259515762,0.9647737312316894
636,AAAAAAAAAAAAAAAAAAAC6NC5HQHGZCQAFAIACUA_192,4,2,2,89.37193814500642,15,0.1818656039237976,0.8181343960762024,0.8996490204334259,0.6853212761878967,0.9590199279785157,0.1902051129937172,0.8097665819525719,0.8944890576601029,0.6811076071858406,0.9553459739685058
647,4FIR6BTBQKYKHAAYGDBBAXPQQQAALN7DR2BRQQI_192,4,2,4,411.9041559819889,15,0.1553027904033661,0.8446972095966339,0.9150384962558746,0.6726536655426025,0.9568562316894532,0.1562342965602874,0.8437588822841644,0.9144106009602546,0.6713778352737427,0.955937728881836
649,AAAAAAAAAABKHCWIGHL7JUABIYAB3GXIB6PPD4I_192,4,2,3,447.3017882089917,15,0.8054047560691834,0.1945952439308166,0.3250925600528717,0.1664168071746826,0.3556954193115234,0.8038613680005073,0.1961452603340149,0.3274936708807945,0.1676357746124267,0.3564800453186035
650,AAAAAAAAAABCTMG2EAAPYMIISEAAEJ7GMKQAB5Y_192,4,2,3,230.92367705599463,15,0.1544509434700012,0.8455490565299988,0.9156602871418,0.6645873284339905,0.9570314025878908,0.149457524716854,0.850541799068451,0.9186373311281204,0.666635374724865,0.9579074668884278
651,AAAAAAAAAAAAAAAAAAABBMABSIAAHGQANLRMGUY_192,4,2,2,158.242753945,15,0.218680362701416,0.781319637298584,0.8762819516658783,0.6355061912536621,0.9437127685546876,0.2117628839612007,0.7882348343729972,0.8809055662155152,0.6373917225003243,0.9421433639526368
652,AAAAAAAAAAAAAAAAAFAWDV6QK2HCYY43GCAAHBQ_192,4,2,2,344.1585428899998,15,0.1591892981529236,0.8408107018470764,0.912811187505722,0.6732776737213135,0.9557168579101564,0.1679042908549309,0.8320190554857254,0.9072224631905556,0.6677639099955559,0.9533493995666504
655,AAAAAAAAAAAAAAAAAAAHAMADBQAANY56N6IACUY_192,4,2,2,246.7160063570045,15,0.7877822709083557,0.2122177290916443,0.3495464551448822,0.199047292470932,0.2052202606201172,0.7957423266768455,0.2042564731836319,0.3385842701792717,0.1929204359650612,0.1974587249755859
660,AAAAAAAAAAAAAAAAAHBSYVATPQAANHQAF32RBFQ_192,4,2,2,227.21848484200007,15,0.7933194851875305,0.2066805148124695,0.3420119035243988,0.2097408163547515,0.1985477447509765,0.7928396955132484,0.2071560385823249,0.3426373040676116,0.2100867533683776,0.1991268539428711
661,AAAAAAAAAAAAAAAAAHGCJPYL3QLJYO6KXKQABQA_192,4,2,2,961.320512353006,15,0.7960968315601349,0.2039031684398651,0.3379397296905517,0.1954092741012573,0.1969525909423828,0.7934598499536514,0.2065446564555168,0.3417743870615959,0.1975707903504371,0.1995256423950195
662,AACG3XHDEADC7G4ZUGBUBMYHYETNQZSIGDAADUQ_192,4,2,4,415.99127266800497,15,0.7939784145355224,0.2060215854644775,0.3410549855232239,0.1934186005592346,0.1991841888427734,0.7942103892564774,0.2057567805051803,0.3407013800740242,0.1932339307665825,0.1989677429199218
666,AAAAAAAABDQPRGDJUAAHDMAATTUM3AQAOGAABBY_192,4,2,3,166.11821781900653,15,0.7930754935741424,0.2069245064258575,0.3423246014118195,0.1714062488079071,0.1990599060058593,0.7491562959551811,0.2508432641625404,0.4002531296014786,0.2158881652355194,0.3769774627685547
671,AAJU2RAQHSYQTHXC4VZRYPJQ7TRGHKQAH2YUG5Q_192,4,2,4,143.68471590599802,15,0.3308932840824127,0.6691067159175873,0.7985597336292267,0.5311211705207824,0.911974639892578,0.3441474106907844,0.6558506163954735,0.7892990836501121,0.5205259108543396,0.9061125373840332
673,YTCX3A7TEAAYV7WCQAAGAEAAYYABQOQAPYAAAUA_192,4,2,4,244.7073727009993,15,0.7961306726932526,0.2038693273067474,0.3380197310447693,0.1921411848068237,0.1969889068603515,0.7936685103178024,0.2063315999507904,0.3414695200324058,0.194094411432743,0.1995165634155273
677,AA4DPUOMXSA2XAA7VELSBPG5CYABZZQAGKDAYXA_192,4,2,4,2952.3138465200027,15,0.2071132957935333,0.7928867042064667,0.8827106106281281,0.6312462913990021,0.9445943450927734,0.2227582600712776,0.7772387880086898,0.873072842657566,0.6240006297826767,0.9410308265686036
679,KMHXYAGVYAAK5IFCQFOB6FTQIB5HQM4JNZIAD4Y_192,4,2,4,107.0014007550053,15,0.4135891234874725,0.5864108765125274,0.7387075173854828,0.5098596668243408,0.8750508117675782,0.4265376392006874,0.5734148687124252,0.7279488453269005,0.5021399119496346,0.8716772079467774
686,PRIUPDHPAAB67AAO4CKOAEAAI64O3CQAP22PB4Q_192,4,2,4,6387.672959402,15,0.7882942640781403,0.2117057359218597,0.3488559865951538,0.1977274250984192,0.2047544860839844,0.7956813955307007,0.2043108308315277,0.3386839544773102,0.1920306047797203,0.1975751686096191
