seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,loss,iou,dice,dice crossentropy,accuracy
163,6EOHIACQYABIDAAZRQAFZ4ABO7YH7A5GOBAADAA_192,4,2,4,270.01437981300114,15,0.0367443656921386,0.9632556343078612,0.9812756645679472,0.7340878427028656,0.9819396209716796
164,AAAAAAAAAAAAAAAAAHKPIUABCAXDTCQAD3YACTA_192,4,2,2,220.88340325099125,15,0.0397904253005981,0.9602095746994018,0.979683676958084,0.7307154142856598,0.981556396484375
165,AAAAAAAAAAAAAAAAAAAECMAAS4AAPLQAPIIABVA_192,4,2,2,211.054491597999,15,0.2675122570991516,0.7324877429008484,0.8430927538871765,0.6269704878330231,0.9286082458496092
166,AAAAAAAAAAAAAAAAAEDRLXQMKGAAEMQAM6LTBBA_192,4,2,2,354.1277039179986,15,0.2460845243930816,0.7539154756069183,0.8584517800807953,0.625239964723587,0.9334332275390624
167,AAAAAAAAAAAAAAAAAAAFL4ADIUAAMGUGOJQAB5I_192,4,2,2,585.7379396140022,15,0.6460505998134614,0.3539494001865387,0.5221483409404755,0.2628433358669281,0.716180419921875
168,AA2VIADMUAD6XAAG47C5KEAAI5TARMS26IQAARA_192,4,2,4,479.0167835890024,15,0.1356110227108001,0.8643889772891998,0.9268001163005828,0.6832073223590851,0.9614935302734376
169,AAAAAAAAAADOF2U6BBCCGEABLSAB4LQAM2LE24Q_192,4,2,3,317.79042913999,15,0.0396899914741516,0.9603100085258484,0.9797454404830932,0.7306545746326446,0.98185302734375
170,AAAAAAAABIJKHAAC4QANJEAAS6ABYPQAMYHQWRY_192,4,2,3,109.59631852099848,15,0.7967082822322845,0.2032917177677154,0.3373719882965088,0.1822807848453521,0.196160659790039
171,IE4FKQZAQAAYBHXIEPIEZ4ABSQAA4Y5OOKCVWDA_192,4,2,4,331.2370375049941,15,0.046685072183609,0.953314927816391,0.976088080406189,0.7283441412448883,0.9811264801025392
172,AAAAAAAAAABS7AAI4AAMI4ONWSMKHI7KNLIACNI_192,4,2,3,108.989477324998,15,0.0718741035461425,0.9281258964538576,0.962690237760544,0.7242087173461914,0.977919692993164
173,AAAAAAAADXT2JCQFUQAGAMSU2IRBXH4BWJIAGVY_192,4,2,3,1709.8088360910042,15,0.0384069371223449,0.961593062877655,0.980410361289978,0.7354271829128265,0.9819736480712892
