seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,loss,iou,dice,dice crossentropy,accuracy
N,IRIRKEKEPCHCFYRYR5I5IXKHKH5D5C7I7I7EPEI_192,4,2,4,12342.792745418,46,0.540464663388873,0.459535336611127,0.5927549306953517,0.4934207018203486,0.9602452683798836
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,2112.984884370002,6,0.9344336738594204,0.0655663261405795,0.1171417689440106,0.0643034182598306,0.3577809254069118
1,AAAAAAAAAAAAAAAAAAAHCHGVQT4I7EQAFAHBI4Q_192,4,2,2,1746.475742620998,13,0.8411499823870511,0.1588500176129489,0.2630526849340653,0.3127639789565741,0.9059234461815476
2,AAAAAAAAAAAAAAAAAAADJ56LYPVY4A4KUZQAARY_192,4,2,2,4778.192312323998,28,0.8529506799252932,0.1470493200747068,0.2464637374216736,0.2373949971906901,0.8954338148406434
3,AAAAAAAAAAAAAAAAAAAF2MADYQABTZUZWZQABMA_192,4,2,2,6555.426138764997,42,0.7571763043302502,0.2428236956697498,0.371869148865804,0.3492854326039699,0.9303112331455722
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,542.1712110790031,6,0.938992070626668,0.0610079293733319,0.1092586396763414,0.0762317844744024,0.0612914337614037
5,L4CSYABB3IIOLOFEDAABBMAAQYAALFXDUBT4H5Y_192,4,2,4,2021.698624383004,35,0.8174685008374163,0.1825314991625837,0.2874966028463976,0.3351016896389437,0.9161434744349506
6,AAYQYABNEAB2L3RN4FDUKEABWYABZIQAN6IAHVQ_192,4,2,4,5930.602687486,38,0.7449697640163864,0.2550302359836136,0.3765878942817887,0.3810217516651745,0.9447684566115088
7,AAAAAAAAAABGBAA2HAADK4ABRQAA3BRANDAAHXA_192,4,2,3,2753.3666882630005,37,0.838120265069249,0.1618797349307509,0.2657744418738522,0.2979015017605917,0.9087976618847684
8,AAAAAAAAAAAAAAAAAEBBBUADIXRJ4LQAMAKMPEI_192,4,2,2,5032.367029769999,29,0.8310864885712914,0.1689135114287085,0.2771643567435309,0.3042428351537632,0.9276043538362712
9,AAAAAAAABYPQ76H3QEBWA4ADOE3EQMQAELQACBI_192,4,2,3,29273.492846152,31,0.8352221014254634,0.1647778985745366,0.2693130735666483,0.2704454121737457,0.91395096522171
10,AAIQIAGFRIJIXAA6V4DOJVSUOAAA7PQAF6J56QQ_192,4,2,4,16521.750493884996,52,0.6779594035366425,0.3220405964633575,0.4534450250193112,0.3972164386637253,0.946777410161048
11,AAAAAAAADGIWRAAGWAAPKEADZQAAYBVJNDAAGNQ_192,4,2,3,9190.436711192,35,0.7641463038582981,0.2358536961417019,0.3608978015369147,0.3613113230048735,0.9368453593666364
12,AAAAAAAADW4SBYU6MFDWBMADO4AAHYQADKIAGXA_192,4,2,3,4421.949058238999,9,0.9444064477528484,0.0555935522471516,0.1002753160128196,0.0786617224212571,0.055933288026595
14,AAAAAAAAAAAAAAAAAAAH3M6R2UZO5YQAC3AAB5Y_192,4,2,2,1160.947414498005,32,0.8223636280654111,0.1776363719345889,0.2868232619120674,0.3187386749424709,0.9264379131074442
15,AAAAAAAAAAAAAAAAAAANYEABQCAANJXLFBIAD7A_192,4,2,2,1843.8632904120025,25,0.8552111735351712,0.1447888264648288,0.2419685464698766,0.2483572437751546,0.8868211411535254
17,OWF4ZQSNMWAQNAALRT2OZ7KBCAXAQCQAG3YADTA_192,4,2,4,2773.9042214389992,37,0.763571485123471,0.236428514876529,0.3560214512305392,0.3578682831605534,0.9368288248631538
18,AAAAAAAAAAAAAAAAAAAOLUABSTRE7C5ZWBIAHEQ_192,4,2,2,25050.090390988,38,0.7497400326402114,0.2502599673597886,0.3829738714566627,0.3835224543271212,0.9350336934963992
19,AA2MYACHA2VKHOCGBQADIMAD6X7HZEQAGJB5AVA_192,4,2,4,1157.254999736993,8,0.9365050472793144,0.0634949527206856,0.1130768586721933,0.0916897875255317,0.0639443742703847
20,AAPRPQCELGRAL5XKRQAGZEABQG7MLCQAHZAAA5Q_192,4,2,4,10431.6281018,54,0.7084658515394998,0.2915341484605002,0.4173117689362941,0.3797684342009402,0.9442572311709404
21,AAAAAAAAAAAAAAAAAE3MCEADOJ5CIFQAE2WUPEA_192,4,2,2,15630.232343299998,85,0.6908516515331984,0.3091483484668016,0.4473982622533988,0.3899458135321712,0.9466792506455988
22,AAAAAAAAAAAAAAAAAAAB2EAA64FHXLQAPDIABDA_192,4,2,2,3267.104700600001,12,0.9022751014928834,0.0977248985071166,0.1722636961820269,0.239244332224082,0.7455643638117667
23,AAAAAAAAAAAO3JXFSQAG2MAAYQUEHPQAPD7RBNA_192,4,2,3,2725.601690999989,34,0.8412963531145653,0.1587036468854347,0.2603533289366406,0.2733390745486559,0.9029586423085136
24,6CEDIABNXQDIR4UHWT36BFOFYK7MYJQAODQAGNQ_192,4,2,4,17604.16690489999,37,0.7684059067223629,0.2315940932776371,0.3520756958942818,0.3425113999240745,0.929880045755458
25,AAAAAAAAAABSTAAOGAAPZEW7LQRFYIQADIQAB4Q_192,4,2,3,1335.788375300006,21,0.7632078296014185,0.2367921703985814,0.3593454174271999,0.3486603923372888,0.9393358920954568
26,AA4FIABEEABGJAA4DEJPAPOHIDZKYMQAPKQABTA_192,4,2,4,29575.2886717,80,0.7177710989171101,0.2822289010828899,0.4117363860517691,0.3750553474340703,0.9431566692293176
27,OSGG3VJAQAD2VAA4XS37ZEAA2YABTG5B6CJVGEA_192,4,2,4,4804.911253700004,31,0.7610467092831411,0.2389532907168589,0.3624440854564187,0.2957370594314027,0.9111403320197374
28,AAAAAAAAAAAAAAAAAAANZ4AAWQAAJGQAPBIABRI_192,4,2,2,8563.817231099994,35,0.8669670273779267,0.1330329726220733,0.2277128288057461,0.289704349457148,0.8823946506319778
29,AALWYAGVIAA2JGX7VQAGK4ADOWAARZQAHKBE2TA_192,4,2,4,12945.204194300008,31,0.7978103686895884,0.20218963131041162,0.3137075855331359,0.3172888570080768,0.9347181377558685
30,6COFPAODAAAXR44GQ7DOYVYZ3QAAUB5J5Z7HCQA_192,4,2,4,5417.761069599,10,0.9428984870918424,0.0571015129081576,0.1026603760377034,0.0902861540508114,0.0572185464823226
31,AAAAAAAAAAAAAAAAADJ6BUADIMAAIY5JPA3B2EQ_192,4,2,2,11596.016635596,27,0.8602547949912303,0.1397452050087697,0.2371519028070894,0.2456945346191306,0.9035588524275464
32,AAAAAAAAAAAAAAAAAAACJMOA3QXBUZQAMZBUI4I_192,4,2,2,3136.4834949979995,40,0.7904228650726268,0.20957713492737315,0.33135269088807345,0.3611230510871912,0.9227455123213726
