id,gradient,synflow,iou,dice,accuracy,dice crossentropy
60_AGI5LJUJ5YYBCD7HRZZ5M4VOWLB4GRY_146,12.5842267212,10.4220075222,0.268530011177063,0.4582585096359253,0.1728914380073547,0.3057706356048584
61_2BCQHANBYUDEZ7U2T7E5K_104,13.6575462405,14.488854505,0.2492138743400573,0.429416298866272,0.1436144709587097,0.2862274050712585
62_OGKNMBELKMDRJOASV3MTE_104,13.3971858687,12.0958124725,0.2946964502334595,0.4950348138809204,0.2114557027816772,0.3328276872634887
63_IRZ5CKMKLUSU5WVCCI23Y_104,13.5577802526,12.146821538,0.2640492916107178,0.4305081367492676,0.1367586255073547,0.2854616641998291
64_AMZGD7E2QPWEI3RJZHKHPRCZPGLBRBQ_146,14.3551067122,13.7793492351,0.2738874554634094,0.4664540290832519,0.1807238459587097,0.3115869760513305
65_AEDGBBNJRLKQOS3YRFIS2UBA6G3MKRY_146,11.8895418593,9.8573540321,0.2676766514778137,0.4520654678344726,0.1726323366165161,0.2973285317420959
66_DWKTOBFCDE6R4OQ3S5IVI_104,13.3055061594,9.1189777808,0.2565939426422119,0.4340232610702514,0.1557317972183227,0.2819432020187378
67_AEKPIPULBFGIYS7GQDMTKXSGMARDJ7I_146,14.6267197353,15.28706901,0.2781553268432617,0.4680458307266235,0.1761001348495483,0.3165860176086426
68_ANLTDLTCFNAUWO5NXILSYH5O73BUHVI_146,13.5107904931,12.7334846086,0.2592233419418335,0.4449942111968994,0.1646205186843872,0.297930359840393
69_DQPUN2PZPXC576EPS5ANO_104,14.0856665991,7.0101969516,0.269736647605896,0.4349775314331054,0.1790497303009033,0.2643259763717651
70_AD6X2HUZ4UY3KUPC4AYG6U4CMYIQYVQ_146,12.8203565268,9.9064638806,0.2520635724067688,0.4297285079956054,0.1498525142669677,0.2822723388671875
71_342R6ITAPE2QPOJQEXIZK_104,14.9156274641,10.6650320106,0.2378953695297241,0.395110011100769,0.0866150856018066,0.2754849791526794
73_MS6HDYSYTAXRZKLOBYP3A_104,11.8627597052,10.794255247,0.2761602401733398,0.4688481092453003,0.1823979616165161,0.3140536546707153
74_OSFURGXGBTJ4HKXGMU37K_104,13.0777604813,11.2536201655,0.2758595943450928,0.4692331552505493,0.1902702450752258,0.3140676021575928
75_ZTH4CZB2HEY573XK5QOYY_104,12.9574511451,10.766053665,0.2811218500137329,0.4645202159881592,0.1738480329513549,0.3162379264831543
76_D5GTTGDA2ECAFCX6AYM4E_104,11.7428473042,11.3909495499,0.270827054977417,0.4607219099998474,0.1815808415412902,0.3078401684761047
77_NSMM7GMCLTGFASLOZUDTE_104,14.3858226502,11.7507839684,0.2781983613967895,0.4682513475418091,0.1773158311843872,0.3164331316947937
