seed,binary codification,max convs per layer,layers,training secs,epochs,gradient,synflow,loss,iou,dice,dice crossentropy,accuracy
N,AVCVCKRKRUIUISEKEPCHCFRDRD2R2RNI5I7UPUI_188,2,4,92.9920143039999,2,14.238403580543896,18.97254128612871,0.0462963736057281,0.953703626394272,0.9762797832489014,0.7329275250434876,0.9906079363822936
0,OG2DGZF2WEDVMCTBSMEAO_104,2,2,2002.6419815550016,40,13.502058780566356,11.514735388569898,0.0958594238758087,0.9041405761241912,0.9495123934745788,0.7052456367015839,0.9786904883384704
2,2TCGB3QJWRRTFSLI5VMNM_104,2,2,670.1236944779994,11,13.376022360622624,11.083968285052883,0.1718172478675842,0.8281827521324158,0.9053378117084504,0.6783189427852631,0.9615686643123628
3,NSC4EAHGGTCMU6BQSFCDC_104,2,2,1271.4054292500005,32,13.420291714639283,9.408607524281082,0.0788680362701416,0.9211319637298584,0.9589023613929748,0.7232800614833832,0.9880092811584472
4,EDDVB6AA6MCRDBTKAPK5G_104,2,2,889.5895053449967,18,13.913613538812164,12.46062117007664,0.0463583016395568,0.9536416983604432,0.976254140138626,0.7311595845222473,0.9906492972373964
5,AHIDKBRPQEAEW2MIRL2RYDNLV6BULRI_146,2,3,423.5962526830008,12,14.981138531440008,3.3978642088052244,0.0487646150588989,0.951235384941101,0.9749925637245178,0.7101508200168609,0.9898218142986298
6,IXGGDZ7ASMBMJ6N6TUKZO_104,2,2,395.2013635959993,10,14.685534708752954,13.592678442523878,0.04882907271385193,0.951170927286148,0.9749369823932648,0.7266714859008789,0.9894976472854614
