id,gradient,synflow,iou,dice,accuracy,dice crossentropy,real_codification,binary_codification
60_AGI5LJUJ5YYBCD7HRZZ5M4VOWLB4GRY_146,12.5842267212,10.4220075222,0.268530011177063,0.4582585096359253,0.1728914380073547,0.3057706356048584,"[0.28, 0.34, 0.11, 0.74, 0.34, 0.41, 0.51, 0.1, 0.34, 0.11, 0.1, 0.68, 0.51, 0.01, 0.1, 0.01, 0.01, 0.56, 0.34, 0.01, 0.51, 0.83, 0.68, 0.21, 0.65, 0.34, 0.81, 0.51, 0.65, 0.68, 0.91, 0.28, 0.34, 0.81, 0.51, 0.46, 0.34, 0.91, 0.28, 0.34, 0.41, 0.01, 0.1, 0.68, 0.01, 0.74, 0.01, 0.51]",01100100011101010110100110100010011110111000110000000100010000111111100111100011100111001111010110011100101010111010110010110000111100001101000111
61_2BCQHANBYUDEZ7U2T7E5K_104,13.6575462405,14.488854505,0.2492138743400573,0.429416298866272,0.1436144709587097,0.2862274050712585,"[0.74, 0.01, 0.11, 0.01, 0.34, 0.01, 0.01, 0.37, 0.01, 0.01, 0.74, 0.01, 0.21, 0.51, 0.01, 0.34, 0.01, 0.28, 0.34, 0.21, 0.01, 0.37, 0.68, 0.91, 0.1, 0.34, 0.71, 0.51, 0.83, 0.68, 0.31, 0.37, 0.34, 0.61]",11010000010001010000001110000001101000011100010100000110010011001111111010011010100111111100100111010101
62_OGKNMBELKMDRJOASV3MTE_104,13.3971858687,12.0958124725,0.2946964502334595,0.4950348138809204,0.2114557027816772,0.3328276872634887,"[0.37, 0.01, 0.41, 0.46, 0.01, 0.91, 0.01, 0.65, 0.01, 0.31, 0.56, 0.34, 0.41, 0.51, 0.56, 0.68, 0.01, 0.37, 0.01, 0.61, 0.01, 0.46, 0.68, 0.01, 0.19, 0.34, 0.61, 0.01, 0.92, 0.68, 0.41, 0.56, 0.68, 0.31]",01110001100101001101011000000100100010110101001100000111000101001011100000010010101011101101100100110010
63_IRZ5CKMKLUSU5WVCCI23Y_104,13.5577802526,12.146821538,0.2640492916107178,0.4305081367492676,0.1367586255073547,0.2854616641998291,"[0.56, 0.34, 0.11, 0.65, 0.68, 0.91, 0.01, 0.19, 0.34, 0.71, 0.65, 0.34, 0.71, 0.51, 0.37, 0.34, 0.31, 0.46, 0.34, 0.21, 0.51, 0.28, 0.68, 0.61, 0.56, 0.34, 0.01, 0.51, 0.19, 0.01, 0.91, 0.28, 0.68, 0.81]",01000100011100111101000100101001100010100101110100100101010011101101101010100010000100100011010110111100
64_AMZGD7E2QPWEI3RJZHKHPRCZPGLBRBQ_146,14.3551067122,13.7793492351,0.2738874554634094,0.4664540290832519,0.1807238459587097,0.3115869760513305,"[0.65, 0.68, 0.31, 0.28, 0.01, 0.51, 0.51, 0.92, 0.34, 0.21, 0.46, 0.01, 0.11, 0.51, 0.92, 0.68, 0.11, 0.01, 0.01, 0.41, 0.51, 0.65, 0.34, 0.71, 0.92, 0.34, 0.21, 0.51, 0.46, 0.01, 0.51, 0.37, 0.68, 0.11, 0.01, 0.19, 0.68, 0.31, 0.83, 0.01, 0.81, 0.51, 0.28, 0.01, 0.41, 0.19, 0.01, 0.41]",11001100100110000111111100100110101000001111101100010001000110111000101001110010011101010001110111110001000101100101111001100101100001100010000110
65_AEDGBBNJRLKQOS3YRFIS2UBA6G3MKRY_146,11.8895418593,9.8573540321,0.2676766514778137,0.4520654678344726,0.1726323366165161,0.2973285317420959,"[0.56, 0.01, 0.41, 0.28, 0.01, 0.31, 0.01, 0.19, 0.68, 0.61, 0.1, 0.01, 0.61, 0.01, 0.74, 0.34, 0.71, 0.01, 0.68, 0.71, 0.51, 0.28, 0.68, 0.81, 0.56, 0.34, 0.31, 0.51, 0.56, 0.34, 0.31, 0.74, 0.34, 0.71, 0.01, 0.01, 0.01, 0.11, 0.92, 0.01, 0.91, 0.51, 0.28, 0.68, 0.11, 0.46, 0.01, 0.51]",01000001100110000010000101101010011000101011010101000001110100101101111000100010010101000100101101010100000010000011110001101101101100010101000111
66_DWKTOBFCDE6R4OQ3S5IVI_104,13.3055061594,9.1189777808,0.2565939426422119,0.4340232610702514,0.1557317972183227,0.2819432020187378,"[0.01, 0.68, 0.41, 0.46, 0.34, 0.21, 0.01, 0.92, 0.01, 0.31, 0.46, 0.01, 0.71, 0.01, 0.28, 0.34, 0.21, 0.74, 0.01, 0.51, 0.51, 0.01, 0.68, 0.71, 0.1, 0.34, 0.81, 0.51, 0.37, 0.34, 0.71, 0.46, 0.34, 0.71]",00011101100101010011011100000100101000100001100100111101000111100011101000011011100101110101000101010100
67_AEKPIPULBFGIYS7GQDMTKXSGMARDJ7I_146,14.6267197353,15.28706901,0.2781553268432617,0.4680458307266235,0.1761001348495483,0.3165860176086426,"[0.56, 0.34, 0.71, 0.83, 0.34, 0.01, 0.51, 0.83, 0.34, 0.11, 0.28, 0.01, 0.71, 0.51, 0.56, 0.68, 0.31, 0.1, 0.01, 0.71, 0.51, 0.37, 0.68, 0.21, 0.56, 0.01, 0.11, 0.51, 0.28, 0.34, 0.21, 0.46, 0.34, 0.51, 0.51, 0.19, 0.01, 0.81, 0.65, 0.01, 0.11, 0.01, 0.19, 0.01, 0.91, 0.1, 0.68, 0.91]",01000101001111010000111110100010110000100101001100100011000100101111100110100000001101100100110101010111100100011001100000001000100011010011111101
68_ANLTDLTCFNAUWO5NXILSYH5O73BUHVI_146,13.5107904931,12.7334846086,0.2592233419418335,0.4449942111968994,0.1646205186843872,0.297930359840393,"[0.74, 0.34, 0.51, 0.1, 0.01, 0.41, 0.51, 0.37, 0.01, 0.81, 0.56, 0.34, 0.61, 0.51, 0.56, 0.01, 0.61, 0.19, 0.68, 0.21, 0.51, 0.37, 0.34, 0.41, 0.74, 0.68, 0.71, 0.01, 0.46, 0.68, 0.31, 0.65, 0.01, 0.51, 0.51, 0.74, 0.34, 0.91, 0.83, 0.68, 0.41, 0.01, 0.1, 0.34, 0.01, 0.83, 0.34, 0.61]",11010101110011000110101110011000100010101101000001010010110011101110101101101110100001011100101100000111111010111011111110110000110100001111010101
69_DQPUN2PZPXC576EPS5ANO_104,14.0856665991,7.0101969516,0.269736647605896,0.4349775314331054,0.1790497303009033,0.2643259763717651,"[0.01, 0.68, 0.01, 0.37, 0.68, 0.71, 0.01, 0.74, 0.68, 0.71, 0.83, 0.68, 0.31, 0.51, 0.83, 0.34, 0.81, 0.46, 0.68, 0.51, 0.51, 0.83, 0.68, 0.11, 0.01, 0.68, 0.81, 0.51, 0.37, 0.34, 0.01, 0.1, 0.34, 0.51]",00011100000111110100011011101001111110010111110111000101110111111111100010001111100101110100000011010111
